,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Delhi to Shimla,HRTC - 129,Ordinary 3+2 Non AC Seater,08:50,18:50,10h 00m,INR 507,37 Seats available,2.4
1,Delhi to Shimla,HRTC - 7,Himsuta AC Seater Volvo/Scania 2+2,09:25,18:30,09h 05m,INR 892,34 Seats available,4.5
2,Delhi to Shimla,HRTC - 657,Ordinary 3+2 Non AC Seater,11:00,22:00,11h 00m,INR 507,33 Seats available,2.0
3,Delhi to Shimla,HRTC - 515,Ordinary 3+2 Non AC Seater,12:30,22:50,10h 20m,INR 507,37 Seats available,4.2
4,Delhi to Shimla,HRTC - 551,A/C Executive (2+3),15:30,01:30,10h 00m,INR 507,42 Seats available,3.5
5,Delhi to Shimla,HRTC - 525,Ordinary 3+2 Non AC Seater,16:50,01:30,08h 40m,INR 507,27 Seats available,4.2
6,Delhi to Shimla,HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,04:15,10h 16m,INR 507,27 Seats available,2.0
7,Delhi to Shimla,HRTC - 538,Ordinary 3+2 Non AC Seater,18:31,05:30,10h 59m,INR 507,35 Seats available,4.0
8,Delhi to Shimla,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,04:45,09h 10m,INR 892,16 Seats available,3.5
9,Delhi to Shimla,HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,05:30,09h 47m,INR 507,27 Seats available,4.2
10,Delhi to Shimla,HRTC - 556,Ordinary 3+2 Non AC Seater,20:10,05:45,09h 35m,INR 507,21 Seats available,4.5
11,Delhi to Shimla,HRTC - 591,A/C Executive (2+3),21:00,08:15,11h 15m,INR 507,42 Seats available,3.8
12,Delhi to Shimla,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,06:30,09h 28m,INR 892,31 Seats available,4.2
13,Delhi to Shimla,HRTC - 570,Ordinary 3+2 Non AC Seater,21:25,06:50,09h 25m,INR 507,37 Seats available,3.6
14,Delhi to Shimla,HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,21:36,05:30,07h 54m,INR 867,19 Seats available,3.8
15,Delhi to Shimla,HRTC - 518,Ordinary 3+2 Non AC Seater,21:58,07:15,09h 17m,INR 507,27 Seats available,3.3
16,Delhi to Shimla,HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,22:00,07:30,09h 30m,INR 892,25 Seats available,4.7
17,Delhi to Shimla,HRTC - 579,Ordinary 3+2 Non AC Seater,22:30,08:15,09h 45m,INR 507,23 Seats available,4.1
18,Delhi to Shimla,HRTC - 36,Himsuta AC Seater Volvo/Scania 2+2,22:30,06:30,08h 00m,INR 867,22 Seats available,4.5
19,Delhi to Shimla,HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,23:00,07:50,08h 50m,INR 892,25 Seats available,4.4
20,Delhi to Shimla,HRTC - 564,Ordinary 3+2 Non AC Seater,23:40,09:30,09h 50m,INR 507,37 Seats available,4.6
21,Delhi to Shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),23:00,08:00,09h 00m,549,21 Seats available,4.7
22,Delhi to Shimla,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),22:55,07:25,08h 30m,776,5 Seats available,4.4
23,Delhi to Shimla,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,08h 30m,759,31 Seats available,4.3
24,Delhi to Shimla,AdCity Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:55,07:25,07h 30m,585,39 Seats available,3.7
25,Delhi to Shimla,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,07:45,08h 20m,693,17 Seats available,4.3
26,Delhi to Shimla,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:00,07:10,08h 10m,620,30 Seats available,4.5
27,Delhi to Shimla,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:50,07:40,09h 50m,648,23 Seats available,4.1
28,Delhi to Shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),09:40,19:30,09h 50m,495,17 Seats available,4.1
29,Delhi to Shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,06:00,07h 30m,763,14 Seats available,3.2
30,Delhi to Shimla,Laxmi holidays,Bharat Benz A/C Semi Sleeper (2+2),22:50,07:40,08h 50m,618,33 Seats available,3.9
31,Delhi to Shimla,NueGo,Electric A/C Seater (2+2),23:00,07:55,08h 55m,513,25 Seats available,3.2
32,Delhi to Shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),09:15,19:05,09h 50m,INR 488,33 Seats available,3.6
33,Delhi to Shimla,NueGo,Electric A/C Seater (2+2),21:30,06:25,08h 55m,523,25 Seats available,2.1
34,Delhi to Shimla,FlixBus,A/C Seater (2+2),23:55,08:35,08h 40m,INR 638,10 Seats available,2.9
35,Shimla to Delhi,HRTC - 109,A/C Executive (2+3),09:12,18:44,09h 32m,INR 507,40 Seats available,3.8
36,Shimla to Delhi,HRTC - 5,Himsuta AC Seater Volvo/Scania 2+2,09:45,19:15,09h 30m,INR 892,27 Seats available,3.8
37,Shimla to Delhi,HRTC - 128,Ordinary 3+2 Non AC Seater,10:18,20:00,09h 42m,INR 507,37 Seats available,3.7
38,Shimla to Delhi,HRTC - 2,Himsuta AC Seater Volvo/Scania 2+2,11:15,20:00,08h 45m,INR 892,26 Seats available,4.2
39,Shimla to Delhi,HRTC - 102,Ordinary 3+2 Non AC Seater,11:18,20:50,09h 32m,INR 507,37 Seats available,2.5
40,Shimla to Delhi,HRTC - 177,Ordinary 3+2 Non AC Seater,13:36,23:08,09h 32m,INR 507,31 Seats available,3.3
41,Shimla to Delhi,HRTC - 24,Himsuta AC Seater Volvo/Scania 2+2,13:45,21:45,08h 00m,INR 867,23 Seats available,4.7
