,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Jammu (j and k) to Srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),20:15,06:15,10h 00m,719,36 Seats available,1.5
1,Jammu (j and k) to Srinagar,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),20:30,06:00,09h 30m,674,41 Seats available,1.1
2,Jammu (j and k) to Srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,02:30,10h 00m,INR 699,40 Seats available,1.0
3,Jammu (j and k) to Srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,03:15,10h 00m,INR 699,40 Seats available,1.0
4,Jammu (j and k) to Srinagar,Northern Travels,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),22:30,05:30,0-737h 00m,INR 1299,37 Seats available,No rating
5,Delhi to Srinagar,JKRTC - 172597,Volvo AC Seater (2+2),13:00,13:00,24h 00m,INR 2568.58,34 Seats available,4.3
6,Delhi to Srinagar,DIVA BUS,AC Sleeper (2+1),15:00,08:00,17h 00m,INR 2700,36 Seats available,4.3
7,Delhi to Srinagar,Northern Travels,Bharat Benz A/C Sleeper (2+1),16:30,13:00,20h 30m,INR 2699,25 Seats available,1.9
8,Delhi to Srinagar,Northern Travels,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),09:00,05:30,20h 30m,INR 2499,36 Seats available,No rating
9,Srinagar to Jammu (j and k),Northern Travels,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),09:30,19:00,09h 30m,INR 1299,37 Seats available,No rating
10,Jammu (j and k) to Haridwar,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:50,09:30,12h 40m,822,26 Seats available,4.3
11,Jammu (j and k) to Haridwar,City Land Travels,A/C Seater/Sleeper (2+1),20:30,09:00,12h 30m,791,11 Seats available,3.3
12,Jammu (j and k) to Haridwar,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),20:00,08:55,12h 55m,INR 800,16 Seats available,4.0
13,Jammu (j and k) to Haridwar,Zimindara Travels,AC Sleeper (2+1),15:00,04:30,13h 30m,INR 1149,28 Seats available,4.5
14,Jammu (j and k) to Haridwar,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),16:40,05:00,12h 20m,INR 800,33 Seats available,4.4
15,Jammu (j and k) to Haridwar,City Land Travels,A/C Seater/Sleeper (2+1),18:00,06:20,12h 20m,585,22 Seats available,3.3
16,Jammu (j and k) to Delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:40,08:30,11h 50m,773,32 Seats available,4.6
17,Jammu (j and k) to Delhi,Gola Bus Service,A/C Seater/Sleeper (2+1),20:20,07:50,11h 30m,INR 499,23 Seats available,4.8
18,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:15,08:30,11h 15m,760,28 Seats available,4.6
19,Jammu (j and k) to Delhi,AdIndia Tours & Travels (GetBookCab),A/C Seater / Sleeper (2+2),18:30,06:00,11h 30m,INR 499,42 Seats available,4.3
20,Jammu (j and k) to Delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Seater / Sleeper (2+1),20:30,08:30,12h 00m,522,37 Seats available,4.5
21,Jammu (j and k) to Delhi,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:15,08:00,11h 45m,1026,23 Seats available,4.5
22,Jammu (j and k) to Delhi,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),20:00,07:45,11h 45m,INR 546,34 Seats available,4.5
23,Jammu (j and k) to Delhi,AdAwadh Travels,A/C Sleeper (2+2),20:55,08:40,11h 45m,1079,46 Seats available,4.5
24,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:45,05:30,11h 45m,603,30 Seats available,4.4
25,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:30,09:00,11h 30m,760,31 Seats available,4.4
26,Jammu (j and k) to Delhi,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,06:00,11h 15m,950,37 Seats available,4.3
27,Jammu (j and k) to Delhi,Ram Dalal Holidays,A/C Seater/Sleeper (2+1),20:15,07:30,11h 15m,509,37 Seats available,4.4
28,Jammu (j and k) to Delhi,Laxmi holidays,VE A/C Seater / Sleeper (2+1),22:15,09:50,11h 35m,542,42 Seats available,4.3
29,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:30,08:00,11h 30m,603,48 Seats available,4.2
30,Jammu (j and k) to Delhi,IntrCity SmartBus,AC Sleeper (2+1),20:50,08:30,11h 40m,INR 792,33 Seats available,4.1
31,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),18:15,06:00,11h 45m,760,22 Seats available,4.4
32,Jammu (j and k) to Delhi,Yolo Bus,A/C Seater/Sleeper (2+1),21:01,07:59,10h 58m,INR 500,28 Seats available,4.3
