,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Bangalore to Kozhikode,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,04:24,09h 20m,INR 640,7 Seats available,3.9
1,Bangalore to Kozhikode,KSRTC (Kerala) - 1064,Super Fast Non AC Seater (2+3),23:45,09:50,10h 05m,INR 473,33 Seats available,4.1
2,Bangalore to Kozhikode,Silver Line Travels,NON A/C Semi Sleeper (2+2),19:45,06:10,10h 25m,INR 599,10 Seats available,4.5
3,Bangalore to Kozhikode,MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,INR 800,5 Seats available,4.4
4,Bangalore to Kozhikode,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,INR 1099,19 Seats available,4.2
5,Bangalore to Kozhikode,AdSuraj Holidays,VE A/C Sleeper (2+1),22:30,07:30,09h 00m,INR 1250,19 Seats available,4.0
6,Bangalore to Kozhikode,DLT BUS,A/C Sleeper (2+1),22:30,07:30,09h 00m,INR 1299,12 Seats available,4.1
7,Bangalore to Kozhikode,NS Transports,VE A/C Sleeper (2+1),22:45,07:30,08h 45m,1100,1 Seat available,4.1
8,Bangalore to Kozhikode,P K Travels,A/C Sleeper (2+1),18:45,06:30,11h 45m,INR 1100,3 Seats available,4.2
9,Bangalore to Kozhikode,AdSURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:00,07:30,10h 30m,648,13 Seats available,4.7
10,Bangalore to Kozhikode,National travels and logistics,NON A/C Sleeper (2+1),22:45,06:30,07h 45m,INR 899,6 Seats available,3.8
11,Bangalore to Kozhikode,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,07:05,09h 05m,INR 999,1 Seat available,3.8
12,Bangalore to Kozhikode,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:00,05:30,08h 30m,INR 999,1 Seat available,3.8
13,Bangalore to Kozhikode,P K Travels,A/C Sleeper (2+1),21:45,06:30,08h 45m,INR 1100,12 Seats available,3.6
14,Bangalore to Kozhikode,Suraj Holidays,NON AC Seater / Sleeper 2+1,20:30,06:00,09h 30m,INR 850,8 Seats available,3.4
15,Bangalore to Kozhikode,A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,06:45,09h 45m,INR 600,16 Seats available,3.1
16,Bangalore to Kozhikode,SKS Tours & Travels,A/C Sleeper (2+1),21:15,05:45,08h 30m,INR 999,10 Seats available,4.1
17,Bangalore to Kozhikode,Kalpaka Travels,NON A/C Semi Sleeper (2+2),22:00,06:30,08h 30m,INR 700,6 Seats available,3.3
18,Bangalore to Kozhikode,DA Transports,A/C Sleeper (2+1),21:45,07:00,09h 15m,924,4 Seats available,3.5
19,Bangalore to Kozhikode,Sam Tourist,NON AC Seater / Sleeper 2+1,22:05,07:05,09h 00m,INR 799,25 Seats available,4.1
20,Bangalore to Kozhikode,SRS Travels,A/C Sleeper (2+1),21:45,06:40,08h 55m,1036,4 Seats available,2.3
21,Bangalore to Kozhikode,Bharathi Travels,A/C Sleeper (2+1),23:45,08:00,08h 15m,INR 1290,10 Seats available,3.2
22,Bangalore to Kozhikode,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),19:45,05:45,10h 00m,INR 750,15 Seats available,2.9
23,Bangalore to Kozhikode,A1 Travels,A/C Seater / Sleeper (2+1),21:45,07:00,09h 15m,INR 750,22 Seats available,2.0
24,Bangalore to Kozhikode,P K Travels,Non A/C Seater / Sleeper (2+1),19:15,05:15,10h 00m,INR 799,2 Seats available,3.6
25,Bangalore to Kozhikode,Vijay Lines,A/C Seater / Sleeper (2+1),22:20,07:00,08h 40m,INR 1999,25 Seats available,1.9
26,Bangalore to Kozhikode,RAVINA TRAVELS,A/C Sleeper (2+1),22:30,07:30,09h 00m,INR 2000,34 Seats available,No rating
27,Kozhikode to Ernakulam,KSRTC (Kerala) - 1883,Low Floor AC Seater 2+2,16:30,22:09,05h 39m,INR 383,22 Seats available,3.5
28,Kozhikode to Ernakulam,KSRTC (Kerala) - 323,Super Fast Non AC Seater (2+3),17:25,22:40,05h 15m,INR 269,41 Seats available,3.4
29,Kozhikode to Ernakulam,KSRTC (Kerala) - 503,Super Deluxe Non AC Seater Air Bus (2+2),17:42,22:00,04h 18m,INR 309,30 Seats available,3.8
30,Kozhikode to Ernakulam,KSRTC (Kerala) - 556,Super Deluxe Non AC Seater Air Bus (2+2),18:00,22:50,04h 50m,INR 309,23 Seats available,1.7
31,Kozhikode to Ernakulam,KSRTC (Kerala) - 1872,Low Floor AC Seater 2+2,18:30,23:44,05h 14m,INR 383,17 Seats available,4.1
32,Kozhikode to Ernakulam,KSRTC (Kerala) - 467,Super Deluxe Non AC Seater Air Bus (2+2),19:55,00:35,04h 40m,INR 309,20 Seats available,1.4
33,Kozhikode to Ernakulam,KSRTC (Kerala) - 564,Super Deluxe Non AC Seater Air Bus (2+2),20:12,00:51,04h 39m,INR 309,14 Seats available,4.1
34,Kozhikode to Ernakulam,KSRTC (Kerala) - 46,Swift Deluxe Non AC Air Bus (2+2),20:25,01:01,04h 36m,INR 309,23 Seats available,3.4
35,Kozhikode to Ernakulam,KSRTC (Kerala) - 2393,Low Floor AC Seater 2+2,20:30,01:44,05h 14m,INR 383,23 Seats available,3.4
36,Kozhikode to Ernakulam,KSRTC (Kerala) - 827,Super Fast Non AC Seater (2+3),21:00,02:35,05h 35m,INR 269,45 Seats available,3.6
37,Kozhikode to Ernakulam,KSRTC (Kerala) - 531,Super Deluxe Non AC Seater Air Bus (2+2),21:20,01:15,03h 55m,INR 309,15 Seats available,3.3
38,Kozhikode to Ernakulam,KSRTC (Kerala) - 42,Swift Deluxe Non AC Air Bus (2+2),21:25,02:05,04h 40m,INR 309,9 Seats available,3.4
39,Kozhikode to Ernakulam,KSRTC (Kerala) - 1212,AC MULTI AXLE,22:00,02:26,04h 26m,INR 494,14 Seats available,3.7
40,Kozhikode to Ernakulam,KSRTC (Kerala) - 700,Super Fast Non AC Seater (2+3),22:15,03:49,05h 34m,INR 255,45 Seats available,2.7
41,Kozhikode to Ernakulam,KSRTC (Kerala) - 370,AC MULTI AXLE,22:20,03:15,04h 55m,INR 494,24 Seats available,2.3
42,Kozhikode to Ernakulam,KSRTC (Kerala) - 666,Super Fast Non AC Seater (2+3),22:25,04:19,05h 54m,INR 269,45 Seats available,3.2
43,Kozhikode to Ernakulam,KSRTC (Kerala) - 1841,Low Floor AC Seater 2+2,22:30,03:40,05h 10m,INR 383,18 Seats available,3.5
44,Kozhikode to Ernakulam,KSRTC (Kerala) - 582,Super Deluxe Non AC Seater Air Bus (2+2),22:40,03:40,05h 00m,INR 288,25 Seats available,3.4
45,Kozhikode to Ernakulam,KSRTC (Kerala) - 1704,Super Fast Non AC Seater (2+3),22:40,03:50,05h 10m,INR 255,37 Seats available,3.4
46,Kozhikode to Ernakulam,KSRTC (Kerala) - 1011,Super Fast Non AC Seater (2+3),23:00,04:30,05h 30m,INR 261,31 Seats available,3.4
47,Kozhikode to Ernakulam,KSRTC (Kerala) - 279,Super Fast Non AC Seater (2+3),23:05,04:40,05h 35m,INR 269,33 Seats available,3.8
48,Kozhikode to Ernakulam,KSRTC (Kerala) - 426,Super Deluxe Non AC Seater Air Bus (2+2),23:15,03:05,03h 50m,INR 268,7 Seats available,3.1
49,Kozhikode to Ernakulam,KSRTC (Kerala) - 407,Super Deluxe Non AC Seater Air Bus (2+2),23:25,03:55,04h 30m,INR 299,24 Seats available,3.4
50,Kozhikode to Ernakulam,A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,04h 30m,INR 450,21 Seats available,3.9
51,Kozhikode to Ernakulam,BLM Transports,A/C Sleeper (2+1),22:00,02:45,04h 45m,950,6 Seats available,3.9
52,Kozhikode to Ernakulam,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:15,01:45,03h 30m,INR 600,25 Seats available,3.1
53,Kozhikode to Ernakulam,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,01:29,02h 59m,INR 650,28 Seats available,3.6
54,Kozhikode to Ernakulam,Sonia Travels,A/C Seater/Sleeper (2+1),23:30,03:30,04h 00m,INR 730,7 Seats available,4.2
55,Kozhikode to Ernakulam,Surya Connect,Volvo A/C Semi Sleeper (2+2),23:55,05:15,05h 20m,INR 630,14 Seats available,4.7
56,Kozhikode to Ernakulam,Arya Travels,A/C Sleeper (2+1),23:59,05:30,05h 31m,INR 799,15 Seats available,4.2
57,Kozhikode to Ernakulam,Kalpaka Travels 1,A/C Semi Sleeper (2+2),23:59,05:00,05h 01m,INR 600,26 Seats available,3.4
58,Kozhikode to Ernakulam,Cochin Express,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:59,06:15,06h 16m,INR 667,13 Seats available,3.6
59,Kozhikode to Ernakulam,Kalpaka Travels 1,A/C Sleeper (2+1),23:59,06:00,06h 01m,INR 800,19 Seats available,3.5
60,Kozhikode to Ernakulam,Cochin Express,A/C Sleeper (2+1),23:59,05:45,05h 46m,INR 807,2 Seats available,3.9
61,Kozhikode to Ernakulam,Arya Travels,Volvo A/C Semi Sleeper (2+2),23:59,05:30,05h 31m,INR 599,20 Seats available,3.2
62,Kozhikode to Ernakulam,Arya Travels,A/C Semi Sleeper (2+2),23:59,05:30,05h 31m,INR 649,40 Seats available,3.2
63,Kozhikode to Ernakulam,A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,INR 600,21 Seats available,2.9
64,Kozhikode to Ernakulam,Shajees Motors,A/C Semi Sleeper (2+2),22:30,03:05,04h 35m,530,40 Seats available,2.6
65,Kozhikode to Ernakulam,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),23:15,03:10,03h 55m,INR 850,11 Seats available,1.8
66,Kozhikode to Ernakulam,Arya Travels,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:59,05:00,05h 01m,INR 849,34 Seats available,2.7
67,Kozhikode to Ernakulam,EMERALD TRAVELS,A/C Sleeper (2+1),21:56,02:40,04h 44m,INR 1100,12 Seats available,3.1
68,Kozhikode to Ernakulam,A1 Travels,Bharat Benz A/C Sleeper (2+1),23:30,03:15,03h 45m,INR 1000,29 Seats available,3.3
69,Kozhikode to Ernakulam,LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),23:05,03:15,04h 10m,1099,18 Seats available,2.8
70,Kozhikode to Bangalore,KSRTC (Kerala) - 578,Super Deluxe Non AC Seater Air Bus (2+2),18:00,04:00,10h 00m,INR 513,20 Seats available,3.1
71,Kozhikode to Bangalore,KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,19:00,03:35,08h 35m,INR 688,16 Seats available,3.5
72,Kozhikode to Bangalore,KSRTC (Kerala) - 1583,Super Deluxe Non AC Seater Air Bus (2+2),20:02,05:21,09h 19m,INR 640,22 Seats available,3.7
73,Kozhikode to Bangalore,KSRTC (Kerala) - 1130,Super Deluxe Non AC Seater Air Bus (2+2),20:45,05:50,09h 05m,INR 640,38 Seats available,3.3
74,Kozhikode to Bangalore,KSRTC (Kerala) - 234,Swift Deluxe Non AC Air Bus (2+2),21:00,06:00,09h 00m,INR 620,6 Seats available,4.1
75,Kozhikode to Bangalore,KSRTC (Kerala) - 1584,Super Deluxe Non AC Seater Air Bus (2+2),21:29,06:38,09h 09m,INR 640,26 Seats available,3.7
76,Kozhikode to Bangalore,KSRTC (Kerala) - 1316,Super Deluxe Non AC Seater Air Bus (2+2),21:45,06:45,09h 00m,INR 640,35 Seats available,3.3
77,Kozhikode to Bangalore,KSRTC (Kerala) - 50,Swift Deluxe Non AC Air Bus (2+2),22:06,06:41,08h 35m,INR 640,18 Seats available,3.5
78,Kozhikode to Bangalore,KSRTC (Kerala) - 549,Super Deluxe Non AC Seater Air Bus (2+2),22:15,06:13,07h 58m,INR 640,9 Seats available,1.9
79,Kozhikode to Bangalore,MMK Travels,VE A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 700,19 Seats available,4.4
80,Kozhikode to Bangalore,P K Travels,A/C Sleeper (2+1),20:00,06:00,10h 00m,INR 950,19 Seats available,4.2
81,Kozhikode to Bangalore,DLT BUS,A/C Sleeper (2+1),21:45,06:30,08h 45m,INR 899,12 Seats available,4.1
