,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Pune to Goa,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,05:50,10h 35m,INR 900,5 Seats available,3.8
1,Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:45,08:35,10h 50m,629,25 Seats available,4.6
2,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,INR 626,17 Seats available,4.6
3,Pune to Goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,08:30,11h 30m,INR 699,17 Seats available,4.6
4,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:30,10h 30m,INR 601,16 Seats available,4.4
5,Pune to Goa,Ashray Vip Yellows,A/C Sleeper (2+1),20:30,08:00,11h 30m,INR 900,21 Seats available,4.4
6,Pune to Goa,Zingbus Plus,VE A/C Sleeper (2+1),23:20,09:35,10h 15m,599,25 Seats available,4.4
7,Pune to Goa,Ashray Amrutyog,A/C Sleeper (2+1),22:00,09:30,11h 30m,INR 699,27 Seats available,4.5
8,Pune to Goa,Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,07:45,10h 30m,INR 400,42 Seats available,4.6
9,Pune to Goa,Ashray Divine,NON A/C Sleeper (1+2),19:45,06:45,11h 00m,INR 700,13 Seats available,4.2
10,Pune to Goa,Indumati Travels,A/C Sleeper (2+1),22:20,08:30,10h 10m,760,19 Seats available,4.2
11,Pune to Goa,Sangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,06:45,09h 45m,INR 524,31 Seats available,4.1
12,Pune to Goa,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:05,09:30,10h 25m,INR 870,29 Seats available,4.1
13,Pune to Goa,Atmaram Gobus,NON A/C Sleeper (2+1),20:30,07:00,10h 30m,INR 699,18 Seats available,4.3
14,Pune to Goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:05,08:01,09h 56m,INR 700,24 Seats available,4.1
15,Pune to Goa,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,07:15,11h 15m,INR 499,28 Seats available,4.2
16,Pune to Goa,Ashray Pearl,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),22:30,08:30,10h 00m,INR 911,37 Seats available,4.0
17,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),21:00,07:40,10h 40m,INR 500,27 Seats available,4.0
18,Pune to Goa,Humsafar Travels,A/C Sleeper (2+1),22:50,09:30,10h 40m,INR 850,19 Seats available,4.1
19,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),23:35,09:45,10h 10m,INR 600,29 Seats available,4.1
20,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),21:55,08:20,10h 25m,INR 600,31 Seats available,4.0
21,Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),22:25,08:40,10h 15m,691,17 Seats available,4.3
22,Pune to Goa,Laxmi Queen Prime,A/C Sleeper (2+1),20:30,07:30,11h 00m,INR 800,23 Seats available,3.9
23,Pune to Goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:15,09:30,11h 15m,INR 1020,32 Seats available,4.2
24,Pune to Goa,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),20:15,06:30,10h 15m,INR 910,33 Seats available,3.9
25,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),21:35,08:15,10h 40m,INR 672,21 Seats available,3.9
26,Pune to Goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:30,09:30,11h 00m,INR 920,17 Seats available,4.2
27,Pune to Goa,Zingbus Plus,VE A/C Sleeper (2+1),01:40,11:20,09h 40m,919,2 Seats available,4.5
28,Pune to Goa,Ashray National Express,NON A/C Sleeper (2+1),20:00,06:45,10h 45m,INR 700,24 Seats available,4.5
29,Pune to Goa,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),23:15,09:35,10h 20m,INR 849,19 Seats available,4.0
30,Pune to Goa,Traveltime Travels (St.Christopher),Non AC Seater (2+2),20:30,07:30,11h 00m,INR 400,26 Seats available,3.3
31,Pune to Goa,Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),21:45,08:45,11h 00m,INR 1050,16 Seats available,4.1
32,Pune to Goa,Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),23:25,09:10,09h 45m,INR 699,24 Seats available,3.5
33,Pune to Goa,Shreyash Travels,Bharat Benz A/C Sleeper (2+1),21:45,08:30,10h 45m,561,23 Seats available,3.8
34,Pune to Goa,Laxmi Queen Grand,A/C Sleeper (2+1),22:00,08:30,10h 30m,INR 800,21 Seats available,3.8
35,Pune to Goa,PSR Travels Goa,A/C Sleeper (2+1),23:55,09:15,09h 20m,INR 999,26 Seats available,3.4
36,Pune to Goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:00,08:00,10h 00m,INR 700,24 Seats available,4.8
37,Pune to Goa,Abhishek Vishal Travels,NON A/C Push Back (2+2),21:25,07:10,09h 45m,INR 550,30 Seats available,3.2
38,Pune to Goa,Laxmi Queen Asta,A/C Sleeper (2+1),21:30,08:00,10h 30m,INR 800,21 Seats available,4.0
39,Pune to Goa,Dolphin Travel House (39),A/C Sleeper (2+1),22:30,09:15,10h 45m,INR 910,34 Seats available,3.1
40,Pune to Goa,Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),22:15,08:30,10h 15m,INR 910,36 Seats available,3.3
41,Pune to Goa,Dolphin travel house,A/C Sleeper (2+1),23:45,10:45,11h 00m,INR 910,36 Seats available,3.2
42,Pune to Goa,Hans Travels (I) Private Limited,A/C Sleeper (2+1),23:59,12:14,12h 15m,INR 1100,19 Seats available,2.5
43,Pune to Goa,Atmaram Manish Travels,NON A/C Hi-Tech (2+2),21:00,07:30,10h 30m,630,33 Seats available,2.0
44,Pune to Goa,Humsafar Travels,A/C Sleeper (2+1),22:15,09:00,10h 45m,INR 850,19 Seats available,3.4
45,Pune to Goa,Gogte Travels (Manish),Non AC Seater (2+2),19:35,07:30,11h 55m,INR 600,40 Seats available,3.1
46,Pune to Goa,Traveltime Travels (St.Christopher),Non AC Seater (2+2),20:30,07:30,11h 00m,INR 400,27 Seats available,3.3
47,Pune to Goa,Dolphin Travel House (40),A/C Sleeper (2+1),02:15,14:00,11h 45m,INR 1310,4 Seats available,3.9
48,Pune to Goa,KOKAN TOURS & TRAVELS,NON A/C Seater Push Back (2+2),21:00,08:45,11h 45m,INR 3000,27 Seats available,3.0
49,Pune to Goa,Maa tours & Travels,A/C Seater (2+2),23:29,10:00,10h 31m,INR 900,20 Seats available,1.2
50,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),21:45,08:10,10h 25m,INR 799,26 Seats available,4.3
51,Pune to Goa,Travel Time Tours & Travels,A/C Sleeper (2+1),21:00,07:45,10h 45m,INR 800,26 Seats available,3.3
52,Pune to Goa,VRL Travels,A/C Sleeper (2+1),23:30,09:45,10h 15m,INR 800,23 Seats available,3.4
53,Goa to Pune,Kadamba Transport Corporation Limited (KTCL) - 6032,Non AC Seater 2+2,18:00,08:00,14h 00m,INR 600,25 Seats available,4.2
54,Goa to Pune,Atmaram Gobus,VE A/C Sleeper (2+1),21:32,06:22,08h 50m,INR 999,13 Seats available,4.8
55,Goa to Pune,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,09:10,10h 40m,INR 999,13 Seats available,4.8
56,Goa to Pune,AdIndumati Travels,A/C Sleeper (2+1),21:00,07:00,10h 00m,760,14 Seats available,3.9
57,Goa to Pune,IntrCity SmartBus,AC Sleeper (2+1),19:30,05:35,10h 05m,INR 1255,16 Seats available,4.6
58,Goa to Pune,Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,10:00,11h 30m,INR 720,18 Seats available,4.5
59,Goa to Pune,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:50,03:30,08h 40m,941,23 Seats available,4.5
60,Goa to Pune,IntrCity SmartBus,AC Sleeper (2+1),21:00,07:05,10h 05m,INR 744,26 Seats available,4.4
61,Goa to Pune,IntrCity SmartBus,AC Sleeper (2+1),20:00,07:30,11h 30m,INR 551,18 Seats available,4.3
62,Goa to Pune,Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,07:45,09h 45m,INR 990,28 Seats available,4.5
63,Goa to Pune,Atmaram Gobus,NON A/C Sleeper (2+1),20:01,06:31,10h 30m,INR 750,25 Seats available,4.3
64,Goa to Pune,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,06:30,11h 30m,INR 499,14 Seats available,4.4
65,Goa to Pune,Ashray Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),21:00,07:15,10h 15m,INR 710,23 Seats available,4.2
