,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Patiala to Delhi,PEPSU (Punjab) - 67139,AC Seater Hvac 2+2,09:05,14:06,05h 01m,INR 440,40 Seats available,3.0
1,Patiala to Delhi,PEPSU (Punjab) - 66648,Volvo AC Seater (2+2),09:50,14:11,04h 21m,INR 692,28 Seats available,3.6
2,Patiala to Delhi,PEPSU (Punjab) - 66649,Volvo AC Seater (2+2),12:40,18:49,06h 09m,INR 692,33 Seats available,4.1
3,Patiala to Delhi,PEPSU (Punjab) - 67101,AC Seater Hvac 2+2,15:25,20:26,05h 01m,INR 440,38 Seats available,3.2
4,Patiala to Delhi,PEPSU (Punjab) - 67142,Volvo AC Seater (2+2),16:00,21:25,05h 25m,INR 692,31 Seats available,4.2
5,Patiala to Delhi,PEPSU (Punjab) - 66687,Volvo AC Seater (2+2),18:10,00:19,06h 09m,INR 692,35 Seats available,4.0
6,Patiala to Delhi,PEPSU (Punjab) - 67104,AC Seater Hvac 2+2,22:30,03:31,05h 01m,INR 440,41 Seats available,3.0
7,Delhi to Patiala,PEPSU (Punjab) - 67069,Volvo AC Seater (2+2),08:00,13:30,05h 30m,INR 692,29 Seats available,4.3
8,Delhi to Patiala,PEPSU (Punjab) - 67105,AC Seater Hvac 2+2,09:50,15:20,05h 30m,INR 440,38 Seats available,3.2
9,Delhi to Patiala,PEPSU (Punjab) - 67160,Volvo AC Seater (2+2),11:46,17:15,05h 29m,INR 692,37 Seats available,4.0
10,Delhi to Patiala,PEPSU (Punjab) - 66665,Volvo AC Seater (2+2),14:01,19:00,04h 59m,INR 692,35 Seats available,4.1
11,Delhi to Patiala,PEPSU (Punjab) - 66689,Volvo AC Seater (2+2),15:25,20:25,05h 00m,INR 692,35 Seats available,3.9
12,Delhi to Patiala,PEPSU (Punjab) - 67140,AC Seater Hvac 2+2,16:30,22:00,05h 30m,INR 440,41 Seats available,3.1
13,Delhi to Patiala,PEPSU (Punjab) - 66667,Volvo AC Seater (2+2),17:30,22:30,05h 00m,INR 692,31 Seats available,4.2
14,Delhi to Patiala,PEPSU (Punjab) - 67103,AC Seater Hvac 2+2,22:31,04:00,05h 29m,INR 440,24 Seats available,3.2
15,Ludhiana to Delhi,PEPSU (Punjab) - 67162,Volvo AC Seater (2+2),15:00,22:30,07h 30m,INR 845,34 Seats available,2.5
16,Ludhiana to Delhi,PEPSU (Punjab) - 67096,Volvo AC Seater (2+2),16:10,23:10,07h 00m,INR 845,37 Seats available,3.8
17,Ludhiana to Delhi,PEPSU (Punjab) - 67135,Volvo AC Seater (2+2),17:33,01:33,08h 00m,INR 845,38 Seats available,2.2
18,Ludhiana to Delhi,PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,03:35,07h 45m,INR 845,34 Seats available,4.5
19,Ludhiana to Delhi,PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,04:10,07h 20m,INR 845,36 Seats available,4.6
20,Ludhiana to Delhi,PEPSU (Punjab) - 67137,Volvo AC Seater (2+2),21:50,04:55,07h 05m,INR 845,34 Seats available,4.2
21,Ludhiana to Delhi,Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,05:00,06h 33m,INR 459,24 Seats available,4.6
22,Ludhiana to Delhi,Laxmi holidays,VE A/C Sleeper (2+1),23:55,07:00,07h 05m,570,20 Seats available,4.3
23,Ludhiana to Delhi,IntrCity SmartBus,AC Sleeper (2+1),22:50,05:45,06h 55m,INR 664,18 Seats available,4.4
24,Ludhiana to Delhi,AdArmaan Tour & Travels,A/C Seater / Sleeper (2+1),22:50,06:00,07h 10m,524,47 Seats available,3.5
25,Ludhiana to Delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,06:05,06h 10m,INR 401,37 Seats available,4.4
26,Ludhiana to Delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,06:20,07h 35m,INR 642,16 Seats available,4.5
27,Ludhiana to Delhi,NueGo,Electric A/C Seater (2+2),18:00,23:50,05h 50m,380,36 Seats available,3.6
28,Ludhiana to Delhi,AdIndia Tours & Travels (GetBookCab),A/C Semi Sleeper / Sleeper (2+2),00:55,06:30,05h 35m,INR 499,26 Seats available,2.8
29,Ludhiana to Delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,06:40,06h 50m,566,28 Seats available,4.7
30,Ludhiana to Delhi,NueGo,Electric A/C Seater (2+2),07:00,12:50,05h 50m,380,17 Seats available,3.3
31,Ludhiana to Delhi,NueGo,Electric A/C Seater (2+2),11:00,16:50,05h 50m,380,26 Seats available,3.0
32,Ludhiana to Delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:40,06:00,06h 20m,INR 480,32 Seats available,4.2
33,Ludhiana to Delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:25,05:20,05h 55m,499,28 Seats available,4.1
