,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Burdwan to Kolkata,SBSTC-BURDWAN - KOLKATA - 07:25 (BWN DEPOT) - 9,Non AC Seater (2+3),07:25,09:25,02h 00m,INR 95,9 Seats available,4.0
1,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 08:00 (BWN DEPOT) - 48,Non AC Seater (2+3),08:00,10:30,02h 30m,INR 100,8 Seats available,4.1
2,Burdwan to Kolkata,SBSTC-BURDWAN - KOLKATA - 08:15 (BWN DEPOT) - 13,Non AC Seater (2+3),08:15,10:15,02h 00m,INR 95,33 Seats available,4.4
3,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 08:30 (BWN DEPOT) - 49,Non AC Seater (2+3),08:30,11:00,02h 30m,INR 100,9 Seats available,4.3
4,Burdwan to Kolkata,SBSTC-BURDWAN - KOLKATA - 08:35 (KALNA DEPOT) - 461,Non AC Seater (2+3),08:35,10:35,02h 00m,INR 95,40 Seats available,3.6
5,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 09:00 (BWN DEPOT) - 50,Non AC Seater (2+3),09:00,11:30,02h 30m,INR 100,20 Seats available,3.8
6,Burdwan to Kolkata,SBSTC-BURDWAN - KOLKATA - 09:30 (BWN DEPOT) - 18,Non AC Seater (2+3),09:30,11:30,02h 00m,INR 95,42 Seats available,4.2
7,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 09:30 (KALNA DEPOT) - 51,Non AC Seater (2+3),09:30,12:00,02h 30m,INR 100,36 Seats available,4.2
8,Burdwan to Kolkata,SBSTC-BURDWAN - KOLKATA - 10:00 (KALNA DEPOT) - 20,Non AC Seater (2+3),10:00,12:00,02h 00m,INR 95,50 Seats available,3.7
9,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 10:15 (BWN DEPOT) - 52,Non AC Seater (2+3),10:15,12:45,02h 30m,INR 100,35 Seats available,3.9
10,Burdwan to Kolkata,SBSTC-BURDWAN - KOLKATA - 10:30 (BWN DEPOT) - 21,Non AC Seater (2+3),10:30,12:30,02h 00m,INR 95,39 Seats available,4.3
11,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 11:00 (BWN DEPOT) - 705,Non AC Seater (2+3),11:00,13:30,02h 30m,INR 100,39 Seats available,3.8
12,Burdwan to Kolkata,SBSTC-BURDWAN - KOLKATA - 11:30 (BWN DEPOT) - 23,Non AC Seater (2+3),11:30,13:30,02h 00m,INR 95,50 Seats available,3.7
13,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 11:45 (BWN DEPOT) - 53,Non AC Seater (2+3),11:45,14:15,02h 30m,INR 100,49 Seats available,3.3
14,Burdwan to Kolkata,SBSTC-BURDWAN - KOLKATA - 12:30 (BWN DEPOT) - 25,Non AC Seater (2+3),12:30,14:30,02h 00m,INR 95,46 Seats available,4.0
15,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 12:30 (BWN DEPOT) - 54,Non AC Seater (2+3),12:30,15:00,02h 30m,INR 100,38 Seats available,4.5
16,Burdwan to Kolkata,SBSTC-BURDWAN - KOLKATA - 13:30 (BWN DEPOT) - 27,Non AC Seater (2+3),13:30,15:30,02h 00m,INR 95,47 Seats available,3.1
17,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 13:30 (BWN DEPOT) - 55,Non AC Seater (2+3),13:30,16:00,02h 30m,INR 100,45 Seats available,4.4
18,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 14:10 (BWN DEPOT) - 56,Non AC Seater (2+3),14:10,16:40,02h 30m,INR 100,49 Seats available,4.4
