,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Bareilly to Delhi,UPSRTC - PLB0002,Shatabdi AC Seater 2+2,00:25,06:00,05h 35m,INR 598,26 Seats available,4.1
1,Bareilly to Delhi,UPSRTC - STD0080,Ordinary Non AC Seater 2+3,00:35,08:00,07h 25m,INR 450,52 Seats available,3.3
2,Bareilly to Delhi,UPSRTC - STD0072,Janrath AC Seater 2+2,00:40,05:45,05h 05m,INR 598,27 Seats available,3.3
3,Bareilly to Delhi,UPSRTC - BRT0037,Ordinary Non AC Seater 2+3,01:25,08:00,06h 35m,INR 449,52 Seats available,3.3
4,Bareilly to Delhi,UPSRTC - KSB0043,Shatabdi AC Seater 2+2,06:00,11:30,05h 30m,INR 598,37 Seats available,2.6
5,Bareilly to Delhi,UPSRTC - BLY0150,Janrath AC Seater 2+2,07:05,11:45,04h 40m,INR 598,34 Seats available,3.3
6,Bareilly to Delhi,UPSRTC - BLY0145,Rajdhani Non AC Seater 2+3,07:30,12:30,05h 00m,INR 448,52 Seats available,3.3
7,Bareilly to Delhi,UPSRTC - RKD0052,Ordinary Non AC Seater 2+3,08:00,13:30,05h 30m,INR 448,52 Seats available,3.3
8,Bareilly to Delhi,UPSRTC - RKD0133,Janrath AC Seater 2+2,08:15,13:45,05h 30m,INR 598,31 Seats available,3.4
9,Bareilly to Delhi,UPSRTC - PLB0055,Rajdhani Non AC Seater 2+3,08:30,14:29,05h 59m,INR 454,51 Seats available,3.3
10,Bareilly to Delhi,UPSRTC - BLY0108,Janrath AC Seater 2+2,09:02,13:45,04h 43m,INR 598,35 Seats available,3.3
11,Bareilly to Delhi,UPSRTC - KSB0071,Shatabdi AC Seater 2+2,09:32,15:00,05h 28m,INR 598,37 Seats available,3.3
12,Bareilly to Delhi,UPSRTC - RKD0053,Ordinary Non AC Seater 2+3,10:00,15:30,05h 30m,INR 448,52 Seats available,3.3
13,Bareilly to Delhi,UPSRTC - RKD0110,Shatabdi AC Seater 2+2,10:01,15:01,05h 00m,INR 598,32 Seats available,4.3
14,Bareilly to Delhi,UPSRTC - RKD0112,Janrath AC Seater 2+2,10:31,16:01,05h 30m,INR 598,36 Seats available,4.4
15,Bareilly to Delhi,UPSRTC - KSB0035,Shatabdi AC Seater 2+2,11:00,17:00,06h 00m,INR 598,36 Seats available,4.4
16,Bareilly to Delhi,UPSRTC - BLY0147,Rajdhani Non AC Seater 2+3,11:00,16:00,05h 00m,INR 448,52 Seats available,3.3
17,Bareilly to Delhi,UPSRTC - RKD0114,Shatabdi AC Seater 2+2,11:36,17:06,05h 30m,INR 598,37 Seats available,2.7
