,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Jodhpur to Ajmer,RSRTC - 176394,Super Luxury Volvo AC Seater Pushback 2+2,20:00,23:45,03h 45m,INR 460,22 Seats available,4.4
1,Jodhpur to Ajmer,RSRTC - 189473,NON AC Seater / Sleeper 2+1,21:00,01:30,04h 30m,INR 302,37 Seats available,4.2
2,Jodhpur to Ajmer,RSRTC - 193596,Express Non AC Seater 2+3,22:30,02:00,03h 30m,INR 229,42 Seats available,4.2
3,Jodhpur to Ajmer,RSRTC - 192299,Super Luxury Volvo AC Seater Pushback 2+2,23:00,02:45,03h 45m,INR 458,37 Seats available,4.3
4,Jodhpur to Ajmer,RSRTC - 189583,NON AC Seater / Sleeper 2+1,23:59,03:45,03h 46m,INR 302,37 Seats available,5.0
5,Jodhpur to Ajmer,V k jain travels,A/C Seater / Sleeper (2+1),18:55,23:20,04h 25m,INR 650,14 Seats available,3.0
6,Jodhpur to Ajmer,B R Travels,AC Sleeper (2+1),19:00,23:00,04h 00m,INR 500,10 Seats available,3.9
7,Jodhpur to Ajmer,FlixBus,A/C Sleeper (2+1),19:00,23:50,04h 50m,INR 149,15 Seats available,3.7
8,Jodhpur to Ajmer,V k jain travels,NON A/C Seater/ Sleeper (2+1),19:05,23:25,04h 20m,INR 500,24 Seats available,3.0
9,Jodhpur to Ajmer,Chanakya Travels Agency,NON A/C Seater/ Sleeper (2+1),20:30,01:15,04h 45m,INR 500,35 Seats available,3.8
10,Jodhpur to Ajmer,Jakhar Travels And Cargo,Non A/C Seater / Sleeper (2+1),21:45,03:45,06h 00m,380,26 Seats available,3.6
11,Jodhpur to Ajmer,V k jain travels,A/C Seater / Sleeper (2+1),22:00,02:55,04h 55m,INR 500,20 Seats available,3.0
12,Jodhpur to Ajmer,V k jain travels,NON A/C Seater/ Sleeper (2+1),22:01,02:51,04h 50m,INR 400,22 Seats available,3.0
13,Jodhpur to Ajmer,Jakhar Travels And Cargo,Non A/C Seater / Sleeper (2+1),22:15,02:55,04h 40m,INR 399,27 Seats available,3.6
14,Jodhpur to Ajmer,Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),22:26,03:11,04h 45m,INR 650,33 Seats available,3.5
15,Jodhpur to Ajmer,Swagat Travels,A/C Seater / Sleeper (2+1),22:42,02:50,04h 08m,INR 450,41 Seats available,3.3
16,Jodhpur to Ajmer,Shre Ganesh Travels,A/C Seater / Sleeper (2+1),22:45,03:15,04h 30m,INR 500,33 Seats available,3.3
17,Jodhpur to Ajmer,Bhagwati Travels and Tours,A/C Seater/Sleeper (2+1),23:30,04:00,04h 30m,INR 400,42 Seats available,4.0
18,Jodhpur to Ajmer,Gorsiya Travels,A/C Seater / Sleeper (2+1),23:40,04:15,04h 35m,INR 600,38 Seats available,3.5
